"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-01","15.88",,,,,"41","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-02","16.78",,,,,"50","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-03","14.99",,,,,"55","47",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-04","7.83",,,,,"43","36",,,,,,,"    1",,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-05","8.28",,,,,"55","42",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-06","7.38",,,,,"58","47",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-07","13.42",,,,,"47","37",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-08","13.87",,,,,"40","35",,,,,,,,,,,,,,"    1",,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-09","13.20",,,,,"40","35",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-10","13.65",,,,,"36","31",,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-11","9.40",,,,,"30","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-12","8.95",,,,,"38","21",,,,,,,,,,,,,,,,,,"    1",,,"    1",,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-13","12.08",,,,,"36","14",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-14","10.07",,,,,"28","10",,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-15","9.62",,,,,"30","25",,,,,,,,,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-16","9.40",,,,,"31","23",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-17","5.82",,,,,"31","27",,,,,,,"    1",,,,,,,,,,,"    1",,,,,"    1",,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-01-18","7.83",,,,,"32","28",,,,,,,,,,,,,,"    1",,,,"    1",,,,,"    1",,,,,
